	<Base_Stems>	Amphetamin	<NN>	<base>	<fremd>	<NNeut_s_e>	
	<Base_Stems>	Amphibie	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Amsterdam	<NN>	<base>	<nativ>	<Name-Neut_s>	
	<Base_Stems>	Amt	<NN>	<base>	<nativ>	<NNeut_es_$er>	
	<Base_Stems>	Anabolikum	<NN>	<base>	<klassisch>	<NNeut-um/a>	
	<Base_Stems>	Anachronismus	<NN>	<base>	<nativ>	<NMasc-us/en>	
	<Base_Stems>	Analogie	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Analphabet	<NN>	<base>	<nativ>	<NMasc_en_en>	
	<Base_Stems>	Analyse	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Analyst	<NN>	<base>	<fremd>	<NMasc_en_en>	
	<Base_Stems>	Analytiker	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Ananas	<NN>	<base>	<nativ>	<NFem-s/sse>	
	<Base_Stems>	Anarchie	<NN>	<base>	<nativ>	<NFem/Sg>	
	<Base_Stems>	Anarchist	<NN>	<base>	<nativ>	<NMasc_en_en>	
	<Base_Stems>	Anatolien	<NN>	<base>	<fremd>	<Name-Neut_s>	
	<Base_Stems>	Anatomie	<NN>	<base>	<nativ>	<NFem/Sg>	
	<Base_Stems>	Anbau	<NN>	<base>	<nativ>	<NMasc/Sg_es>	
	<Base_Stems>	Anbau<>:t<>:e<>:n	<NN>	<base>	<nativ>	<NMasc/Pl>	
	<Base_Stems>	Anbeginn	<NN>	<base>	<nativ>	<NMasc_es_e>	
	<Base_Stems>	Anbetracht	<NN>	<base>	<nativ>	<NMasc/Sg_0>	
	<Base_Stems>	Anbieter	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Anbindung	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Anblick	<NN>	<base>	<nativ>	<NMasc_es_e>	
	<Base_Stems>	Andacht	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Andalusien	<NN>	<base>	<fremd>	<Name-Neut_s>	
	<Base_Stems>	Andante	<NN>	<base>	<nativ>	<NNeut_s_s>	
	<Base_Stems>	Anden	<NN>	<base>	<fremd>	<Name-Pl_x>	
	<Base_Stems>	Andenken	<NN>	<base>	<nativ>	<NNeut_s_x>	
	<Base_Stems>	Änderung	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Andorra	<NN>	<base>	<fremd>	<Name-Neut_s>	
	<Base_Stems>	Andrang	<NN>	<base>	<nativ>	<NMasc/Sg_es>	
	<Base_Stems>	Aneignung	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Anekdote	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Anerkennung	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Anfall	<NN>	<base>	<nativ>	<NMasc_es_$e>	
	<Base_Stems>	Anfang	<NN>	<base>	<nativ>	<NMasc_es_$e>	
	<Base_Stems>	Anflug	<NN>	<base>	<nativ>	<NMasc_es_$e>	
	<Base_Stems>	Anforderung	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Anfrage	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Angabe	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Angebot	<NN>	<base>	<nativ>	<NNeut_es_e>	
	<Base_Stems>	Angeklagte	<NN>	<base>	<nativ>	<NMasc_n_n>	
	<Base_Stems>	Angel	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Angelegenheit	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Angelika	<NN>	<base>	<nativ>	<Name-Fem_s>	
	<Base_Stems>	Angeln	<NN>	<base>	<nativ>	<Name-Neut_s>	
	<Base_Stems>	Anger	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Angesicht	<NN>	<base>	<nativ>	<NNeut_es_er>	
	<Base_Stems>	Angestellte	<NN>	<base>	<nativ>	<NMasc_n_n>	
	<Base_Stems>	Angola	<NN>	<base>	<fremd>	<Name-Neut_s>	
	<Base_Stems>	Angriff	<NN>	<base>	<nativ>	<NMasc_es_e>	
	<Base_Stems>	Angst	<NN>	<base>	<nativ>	<NFem_0_$e>	
	<Base_Stems>	Anhalt	<NN>	<base>	<nativ>	<NMasc_es_e>	
	<Base_Stems>	Anhang	<NN>	<base>	<nativ>	<NMasc_es_$e>	
	<Base_Stems>	Anhänger	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Anhängsel	<NN>	<base>	<nativ>	<NNeut_s_0>	
	<Base_Stems>	Anhieb	<NN>	<base>	<nativ>	<NMasc_s_e>	
	<Base_Stems>	Anhöhe	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Animation	<NN>	<base>	<fremd>	<NFem_0_en>	
	<Base_Stems>	Animosität	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Ankara	<NN>	<base>	<fremd>	<Name-Neut_s>	
	<Base_Stems>	Ankauf	<NN>	<base>	<nativ>	<NMasc_es_$e>	
	<Base_Stems>	Anke	<NN>	<base>	<nativ>	<Name-Fem_s>	
	<Base_Stems>	Anker	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Anklage	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Anklang	<NN>	<base>	<nativ>	<NMasc_es_$e>	
	<Base_Stems>	Ankunft	<NN>	<base>	<nativ>	<NFem/Sg>	
	<Base_Stems>	Anlage	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Anlass	<NN>	<base>	<nativ>	<NMasc_es_$e>	
